condition_id,ring number,geology_1,geology_2,geology_3,geology_4,geology_5,geology_6,cutter speed,total thrust,grouting pressure,sync grouting volume,stock solution ratio,foam pressure,expansion rate,dosage,cutter torque,tunneling speed
3,415.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,59200.0,3.2,1.97,2.5,3.61,9.8,138.7,2240.0,2.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.4,57200.0,4.8,2.46,1.5,3.7,10.0,149.3,4110.0,20.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,59700.0,4.4,3.53,2.5,3.59,10.0,149.1,3680.0,11.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,60000.0,2.97,7.47,2.5,3.79,10.0,154.2,2580.0,7.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.4,56800.0,4.6,1.47,1.5,3.79,10.0,149.4,4240.0,14.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,59700.0,4.4,3.53,2.5,3.59,10.0,149.1,3680.0,11.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,59700.0,3.2,3.28,2.5,3.61,10.0,149.2,3000.0,8.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.4,56800.0,4.6,1.47,1.5,3.79,10.0,149.4,4240.0,14.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,57300.0,4.03,1.73,1.5,3.68,10.0,149.3,3750.0,13.0
3,415.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,59500.0,3.27,1.97,2.5,3.67,9.8,138.9,2390.0,3.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,57400.0,4.67,2.85,1.5,3.67,10.0,149.0,3660.0,10.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.4,57300.0,4.23,1.73,1.5,3.74,10.0,148.7,3860.0,12.0
3,414.0,0.0,0.0,0.17,0.83,0.0,0.0,1.5,57000.0,4.07,1.73,1.5,3.76,10.0,149.3,3490.0,18.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.6,36100.0,3.4,10.01,6.0,3.89,0.0,106.5,4300.0,40.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.6,36100.0,3.4,10.01,6.0,3.89,0.0,106.5,4300.0,40.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.6,36700.0,3.28,10.34,6.0,3.82,0.0,106.5,6270.0,28.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.6,37100.0,3.44,9.77,6.0,3.94,0.0,106.3,5030.0,23.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.6,33400.0,3.36,9.26,6.0,3.89,0.0,106.8,2470.0,34.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.6,35100.0,3.32,11.3,6.0,4.02,0.0,106.6,4870.0,18.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.6,37200.0,3.32,11.03,6.0,3.93,0.0,106.3,5970.0,24.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.6,36700.0,3.28,10.34,6.0,3.82,0.0,106.5,6270.0,28.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.6,33400.0,3.36,9.26,6.0,3.89,0.0,106.8,2470.0,34.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.6,33400.0,3.36,9.26,6.0,3.89,0.0,106.8,2470.0,34.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.6,37100.0,3.44,9.34,6.0,3.92,0.0,106.5,4350.0,22.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.6,37000.0,3.44,9.37,6.0,3.89,0.0,106.7,4410.0,15.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.6,36500.0,3.4,9.72,6.0,3.89,0.0,106.5,4970.0,27.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.6,34900.0,3.24,11.54,6.0,3.97,0.0,106.2,4630.0,19.0
4,394.0,0.0,0.0,0.2,0.8,0.0,0.0,1.6,33400.0,3.36,9.26,6.0,3.89,0.0,106.8,2470.0,34.0
